sec,loop_ticks,write_ticks
1788822703,269,61
1788822704,221,61
1788822705,208,61
1788822706,214,47
1788822707,196,44
1788822708,200,49
1788822709,230,56
1788822710,250,70
1788822711,241,67
1788822712,241,74
1788822713,198,62
1788822714,241,58
1788822715,205,51
1788822716,253,63
1788822717,248,94
1788822718,198,49
1788822719,222,62
1788822720,229,71
1788822721,191,46
1788822722,215,66
1788822723,207,52
1788822724,212,64
1788822725,220,72
1788822726,254,87
1788822727,216,74
1788822728,221,54
1788822729,230,75
1788822730,198,52
1788822731,199,63
1788822732,247,92
1788822733,202,55
1788822734,244,58
1788822735,229,68
1788822736,232,58
1788822737,287,79
1788822738,222,63
1788822739,244,75
1788822740,233,68
1788822741,201,50
1788822742,233,70
1788822743,230,59
1788822744,248,73
1788822745,204,52
1788822746,268,73
1788822747,247,81
1788822748,236,64
1788822749,206,52
1788822750,222,63
1788822751,217,51
1788822752,227,62
1788822753,219,60
1788822754,238,71
1788822755,204,69
1788822756,225,56
1788822757,214,49
1788822758,264,58
1788822759,232,53
1788822760,247,78
1788822761,196,57
1788822762,249,65
1788822763,218,64
1788822764,222,59
1788822765,191,58
1788822766,206,60
1788822767,195,54
1788822768,259,85
1788822769,204,54
1788822770,231,72
1788822771,217,58
1788822772,214,51
1788822773,225,57
1788822774,285,90
1788822775,241,78
1788822776,240,70
1788822777,217,70
1788822778,216,65
1788822779,253,66
1788822780,225,77
1788822781,224,61
1788822782,206,62
1788822783,215,71
1788822784,244,65
1788822785,174,40
1788822786,233,79
1788822787,223,58
1788822788,237,51
1788822789,249,66
1788822790,252,84
1788822791,244,58
1788822792,226,54
1788822793,209,58
1788822794,200,65
1788822795,190,50
1788822796,213,52
1788822797,217,59
1788822798,201,60
1788822799,204,57
1788822800,207,42
1788822801,224,53
1788822802,236,52
1788822803,242,70
1788822804,240,74
1788822805,202,55
1788822806,218,54
1788822807,217,60
1788822808,238,51
1788822809,198,57
1788822810,208,58
1788822811,261,80
1788822812,238,58
1788822813,198,71
1788822814,252,72
1788822815,236,80
1788822816,227,63
1788822817,267,80
1788822818,239,83
1788822819,219,73
1788822820,203,61
1788822821,233,66
1788822822,266,71
1788822823,241,84
1788822824,222,67
1788822825,227,71
1788822826,219,53
1788822827,223,74
1788822828,229,66
1788822829,198,56
1788822830,237,56
1788822831,229,61
1788822832,242,60
1788822833,246,84
1788822834,230,67
1788822835,246,65
1788822836,227,60
1788822837,205,51
1788822838,234,69
1788822839,227,61
1788822840,205,47
1788822841,204,57
1788822842,176,46
1788822843,244,80
1788822844,218,66
1788822845,228,55
1788822846,184,52
1788822847,195,50
1788822848,221,59
1788822849,210,57
1788822850,229,57
1788822851,215,45
1788822852,221,68
1788822853,210,65
1788822854,235,63
