loopwarm2: readback from /dev/pps0 (pps@1b)
loopwarm: lead=150us margin=30us, GPIO17 -> jumper -> GPIO27
1788753709.999856796,7834
1788753710.999856713,8000
1788753711.999858148,6666
1788753712.999856657,6074
1788753713.999857841,7908
1788753714.999857812,7167
1788753715.999857158,7963
1788753716.999856948,7000
1788753717.999857610,8055
1788753718.999858107,7777
1788753719.999856270,7352
1788753720.999857027,6481
1788753721.999856504,7055
1788753722.999856831,7389
1788753723.999858806,8352
1788753724.999856763,7203
1788753725.999857905,7703
1788753726.999857547,8259
1788753727.999857022,7666
1788753728.999856960,8333
1788753729.999856361,9222
1788753730.999857910,9463
1788753731.999857108,7037
1788753732.999859454,6944
1788753733.999856669,7389
1788753734.999857608,7685
1788753735.999857324,7148
1788753736.999857243,6797
1788753737.999857033,6297
1788753738.999856490,6204
1788753739.999857632,7593
1788753740.999859292,7908
1788753741.999857379,7685
1788753742.999856447,6389
1788753743.999857070,6759
1788753744.999857249,7926
1788753745.999857039,7426
1788753746.999856403,5759
1788753747.999857286,6241
1788753748.999856743,6925
1788753749.999856959,8314
1788753750.999857323,7833
1788753751.999856557,7000
1788753752.999856866,7240
1788753753.999857045,6333
1788753754.999857650,7240
1788753755.999857088,7259
1788753756.999857822,8648
1788753757.999856927,7833
1788753758.999856884,6500
1788753759.999857026,6185
1788753760.999856390,6907
1788753761.999857321,7074
1788753762.999857002,9149
1788753763.999856180,7185
1788753764.999856692,7149
1788753765.999858850,7833
1788753766.999857467,8907
1788753767.999857917,7389
1788753768.999857849,7296
1788753769.999857026,8759
1788753770.999857816,7777
1788753771.999856717,6241
1788753772.999856840,7963
1788753773.999857634,7963
1788753774.999857786,7056
1788753775.999856399,6796
1788753776.999857297,7055
1788753777.999857075,7426
1788753778.999856621,6889
1788753779.999856777,6833
1788753780.999857980,8167
1788753781.999857692,8166
1788753782.999856364,7167
1788753783.999858889,6796
1788753784.999857783,7537
1788753785.999856550,7074
1788753786.999856374,6611
1788753787.999858401,7241
1788753788.999857873,8389
1788753789.999856352,6815
1788753790.999858803,8408
1788753791.999858292,9296
1788753792.999857187,10037
1788753793.999857094,8426
1788753794.999857656,8222
1788753795.999856070,6926
1788753796.999858817,8334
1788753797.999857943,7686
1788753798.999856340,6870
1788753799.999856812,6852
1788753800.999857572,7778
1788753801.999856957,8222
1788753802.999857132,7500
1788753803.999857327,7629
1788753804.999858391,8019
1788753805.999857962,7018
1788753806.999857718,8555
1788753807.999859215,8778
1788753808.999856619,7815
1788753809.999857181,7648
1788753810.999856396,7203
1788753811.999857241,8629
1788753812.999857179,6556
1788753813.999857990,8315
1788753814.999856687,7260
1788753815.999856959,6815
1788753816.999855916,6666
1788753817.999856546,7241
1788753818.999857144,6722
1788753819.999859096,7259
1788753820.999856719,7797
1788753821.999857156,7148
1788753822.999857961,9149
1788753823.999856989,8278
1788753824.999858776,8444
1788753825.999857342,7574
1788753826.999857817,6408
1788753827.999856274,6852
1788753828.999857286,7185
1788753829.999857041,6148
1788753830.999857075,8277
1788753831.999857775,6593
1788753832.999857050,9389
1788753833.999859140,9148
1788753834.999857099,5945
1788753835.999856763,8130
1788753836.999857075,6667
1788753837.999857293,7759
1788753838.999858342,7833
1788753839.999857928,7500
1788753840.999855904,6352
1788753841.999857416,7685
1788753842.999856799,7240
1788753843.999856163,6629
1788753844.999857527,8537
1788753845.999856760,7074
1788753846.999857973,7796
1788753847.999856982,7444
1788753848.999859028,9259
1788753849.999857890,7482
1788753850.999857514,8703
1788753851.999857118,6334
1788753852.999857223,7167
1788753853.999856569,8815
1788753854.999855952,6222
1788753855.999857964,9926
1788753856.999856865,6907
1788753857.999856951,8074
1788753858.999858019,8574
1788753859.999857328,9648
1788753860.999857618,8963
1788753861.999857723,7963
1788753862.999857531,6648
1788753863.999855821,6871
1788753864.999856630,7148
1788753865.999857309,8815
1788753866.999857247,7593
1788753867.999856593,6426
1788753868.999857105,6815
1788753869.999856784,6185
1788753870.999858518,7019
1788753871.999856734,6463
1788753872.999857543,6074
1788753873.999857295,7870
1788753874.999856952,5833
1788753875.999856498,6833
1788753876.999857007,5648
