trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1788042970.000000165, sequence: 10237 - clear  0.000000000, sequence: 0
source 0 - assert 1788042971.000000336, sequence: 10238 - clear  0.000000000, sequence: 0
source 0 - assert 1788042972.000000043, sequence: 10239 - clear  0.000000000, sequence: 0
source 0 - assert 1788042973.000000583, sequence: 10240 - clear  0.000000000, sequence: 0
source 0 - assert 1788042974.000000197, sequence: 10241 - clear  0.000000000, sequence: 0
source 0 - assert 1788042975.000000253, sequence: 10242 - clear  0.000000000, sequence: 0
source 0 - assert 1788042976.000000457, sequence: 10243 - clear  0.000000000, sequence: 0
source 0 - assert 1788042977.000000031, sequence: 10244 - clear  0.000000000, sequence: 0
source 0 - assert 1788042978.000000104, sequence: 10245 - clear  0.000000000, sequence: 0
source 0 - assert 1788042978.999999951, sequence: 10246 - clear  0.000000000, sequence: 0
source 0 - assert 1788042980.000000113, sequence: 10247 - clear  0.000000000, sequence: 0
source 0 - assert 1788042980.999999997, sequence: 10248 - clear  0.000000000, sequence: 0
source 0 - assert 1788042982.000000142, sequence: 10249 - clear  0.000000000, sequence: 0
source 0 - assert 1788042983.000000385, sequence: 10250 - clear  0.000000000, sequence: 0
source 0 - assert 1788042983.999999962, sequence: 10251 - clear  0.000000000, sequence: 0
source 0 - assert 1788042985.000000168, sequence: 10252 - clear  0.000000000, sequence: 0
source 0 - assert 1788042985.999999927, sequence: 10253 - clear  0.000000000, sequence: 0
source 0 - assert 1788042987.000000324, sequence: 10254 - clear  0.000000000, sequence: 0
source 0 - assert 1788042988.000000220, sequence: 10255 - clear  0.000000000, sequence: 0
source 0 - assert 1788042988.999999821, sequence: 10256 - clear  0.000000000, sequence: 0
source 0 - assert 1788042990.000000257, sequence: 10257 - clear  0.000000000, sequence: 0
source 0 - assert 1788042990.999999978, sequence: 10258 - clear  0.000000000, sequence: 0
source 0 - assert 1788042991.999999903, sequence: 10259 - clear  0.000000000, sequence: 0
source 0 - assert 1788042992.999999717, sequence: 10260 - clear  0.000000000, sequence: 0
source 0 - assert 1788042994.000000439, sequence: 10261 - clear  0.000000000, sequence: 0
source 0 - assert 1788042994.999999958, sequence: 10262 - clear  0.000000000, sequence: 0
source 0 - assert 1788042996.000000051, sequence: 10263 - clear  0.000000000, sequence: 0
source 0 - assert 1788042997.000000089, sequence: 10264 - clear  0.000000000, sequence: 0
source 0 - assert 1788042997.999999885, sequence: 10265 - clear  0.000000000, sequence: 0
source 0 - assert 1788042998.999999811, sequence: 10266 - clear  0.000000000, sequence: 0
source 0 - assert 1788043000.000000088, sequence: 10267 - clear  0.000000000, sequence: 0
source 0 - assert 1788043001.000000273, sequence: 10268 - clear  0.000000000, sequence: 0
source 0 - assert 1788043001.999999792, sequence: 10269 - clear  0.000000000, sequence: 0
