trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1788052847.999999995, sequence: 338 - clear  0.000000000, sequence: 0
source 0 - assert 1788052848.999999997, sequence: 339 - clear  0.000000000, sequence: 0
source 0 - assert 1788052849.999999998, sequence: 340 - clear  0.000000000, sequence: 0
source 0 - assert 1788052851.000000000, sequence: 341 - clear  0.000000000, sequence: 0
source 0 - assert 1788052852.000000001, sequence: 342 - clear  0.000000000, sequence: 0
source 0 - assert 1788052853.000000003, sequence: 343 - clear  0.000000000, sequence: 0
source 0 - assert 1788052853.999999986, sequence: 344 - clear  0.000000000, sequence: 0
source 0 - assert 1788052855.000000005, sequence: 345 - clear  0.000000000, sequence: 0
source 0 - assert 1788052856.000000007, sequence: 346 - clear  0.000000000, sequence: 0
source 0 - assert 1788052856.999999990, sequence: 347 - clear  0.000000000, sequence: 0
source 0 - assert 1788052857.999999991, sequence: 348 - clear  0.000000000, sequence: 0
source 0 - assert 1788052858.999999993, sequence: 349 - clear  0.000000000, sequence: 0
source 0 - assert 1788052859.999999976, sequence: 350 - clear  0.000000000, sequence: 0
source 0 - assert 1788052860.999999996, sequence: 351 - clear  0.000000000, sequence: 0
source 0 - assert 1788052861.999999997, sequence: 352 - clear  0.000000000, sequence: 0
source 0 - assert 1788052862.999999998, sequence: 353 - clear  0.000000000, sequence: 0
source 0 - assert 1788052864.000000000, sequence: 354 - clear  0.000000000, sequence: 0
source 0 - assert 1788052865.000000001, sequence: 355 - clear  0.000000000, sequence: 0
source 0 - assert 1788052865.999999984, sequence: 356 - clear  0.000000000, sequence: 0
source 0 - assert 1788052866.999999986, sequence: 357 - clear  0.000000000, sequence: 0
source 0 - assert 1788052867.999999987, sequence: 358 - clear  0.000000000, sequence: 0
source 0 - assert 1788052868.999999989, sequence: 359 - clear  0.000000000, sequence: 0
source 0 - assert 1788052869.999999990, sequence: 360 - clear  0.000000000, sequence: 0
source 0 - assert 1788052870.999999992, sequence: 361 - clear  0.000000000, sequence: 0
source 0 - assert 1788052871.999999993, sequence: 362 - clear  0.000000000, sequence: 0
source 0 - assert 1788052872.999999995, sequence: 363 - clear  0.000000000, sequence: 0
source 0 - assert 1788052873.999999997, sequence: 364 - clear  0.000000000, sequence: 0
source 0 - assert 1788052874.999999980, sequence: 365 - clear  0.000000000, sequence: 0
source 0 - assert 1788052875.999999981, sequence: 366 - clear  0.000000000, sequence: 0
source 0 - assert 1788052876.999999983, sequence: 367 - clear  0.000000000, sequence: 0
source 0 - assert 1788052878.000000003, sequence: 368 - clear  0.000000000, sequence: 0
source 0 - assert 1788052878.999999986, sequence: 369 - clear  0.000000000, sequence: 0
source 0 - assert 1788052880.000000025, sequence: 370 - clear  0.000000000, sequence: 0
source 0 - assert 1788052880.999999990, sequence: 371 - clear  0.000000000, sequence: 0
source 0 - assert 1788052881.999999992, sequence: 372 - clear  0.000000000, sequence: 0
source 0 - assert 1788052883.000000012, sequence: 373 - clear  0.000000000, sequence: 0
source 0 - assert 1788052884.000000032, sequence: 374 - clear  0.000000000, sequence: 0
source 0 - assert 1788052884.999999996, sequence: 375 - clear  0.000000000, sequence: 0
source 0 - assert 1788052886.000000034, sequence: 376 - clear  0.000000000, sequence: 0
source 0 - assert 1788052886.999999980, sequence: 377 - clear  0.000000000, sequence: 0
source 0 - assert 1788052887.999999982, sequence: 378 - clear  0.000000000, sequence: 0
source 0 - assert 1788052888.999999983, sequence: 379 - clear  0.000000000, sequence: 0
source 0 - assert 1788052889.999999985, sequence: 380 - clear  0.000000000, sequence: 0
source 0 - assert 1788052891.000000005, sequence: 381 - clear  0.000000000, sequence: 0
source 0 - assert 1788052892.000000007, sequence: 382 - clear  0.000000000, sequence: 0
source 0 - assert 1788052892.999999990, sequence: 383 - clear  0.000000000, sequence: 0
source 0 - assert 1788052894.000000011, sequence: 384 - clear  0.000000000, sequence: 0
source 0 - assert 1788052894.999999993, sequence: 385 - clear  0.000000000, sequence: 0
source 0 - assert 1788052895.999999995, sequence: 386 - clear  0.000000000, sequence: 0
source 0 - assert 1788052896.999999996, sequence: 387 - clear  0.000000000, sequence: 0
source 0 - assert 1788052897.999999998, sequence: 388 - clear  0.000000000, sequence: 0
source 0 - assert 1788052899.000000000, sequence: 389 - clear  0.000000000, sequence: 0
source 0 - assert 1788052900.000000001, sequence: 390 - clear  0.000000000, sequence: 0
source 0 - assert 1788052901.000000003, sequence: 391 - clear  0.000000000, sequence: 0
source 0 - assert 1788052902.000000004, sequence: 392 - clear  0.000000000, sequence: 0
source 0 - assert 1788052902.999999987, sequence: 393 - clear  0.000000000, sequence: 0
source 0 - assert 1788052903.999999989, sequence: 394 - clear  0.000000000, sequence: 0
source 0 - assert 1788052904.999999990, sequence: 395 - clear  0.000000000, sequence: 0
source 0 - assert 1788052906.000000029, sequence: 396 - clear  0.000000000, sequence: 0
source 0 - assert 1788052906.999999993, sequence: 397 - clear  0.000000000, sequence: 0
source 0 - assert 1788052907.999999995, sequence: 398 - clear  0.000000000, sequence: 0
source 0 - assert 1788052909.000000015, sequence: 399 - clear  0.000000000, sequence: 0
source 0 - assert 1788052909.999999998, sequence: 400 - clear  0.000000000, sequence: 0
source 0 - assert 1788052911.000000000, sequence: 401 - clear  0.000000000, sequence: 0
source 0 - assert 1788052912.000000039, sequence: 402 - clear  0.000000000, sequence: 0
source 0 - assert 1788052912.999999985, sequence: 403 - clear  0.000000000, sequence: 0
source 0 - assert 1788052914.000000005, sequence: 404 - clear  0.000000000, sequence: 0
source 0 - assert 1788052914.999999988, sequence: 405 - clear  0.000000000, sequence: 0
source 0 - assert 1788052915.999999989, sequence: 406 - clear  0.000000000, sequence: 0
source 0 - assert 1788052916.999999991, sequence: 407 - clear  0.000000000, sequence: 0
source 0 - assert 1788052918.000000029, sequence: 408 - clear  0.000000000, sequence: 0
source 0 - assert 1788052918.999999994, sequence: 409 - clear  0.000000000, sequence: 0
source 0 - assert 1788052919.999999977, sequence: 410 - clear  0.000000000, sequence: 0
source 0 - assert 1788052920.999999997, sequence: 411 - clear  0.000000000, sequence: 0
source 0 - assert 1788052921.999999999, sequence: 412 - clear  0.000000000, sequence: 0
source 0 - assert 1788052923.000000000, sequence: 413 - clear  0.000000000, sequence: 0
source 0 - assert 1788052924.000000002, sequence: 414 - clear  0.000000000, sequence: 0
source 0 - assert 1788052924.999999985, sequence: 415 - clear  0.000000000, sequence: 0
source 0 - assert 1788052925.999999986, sequence: 416 - clear  0.000000000, sequence: 0
source 0 - assert 1788052926.999999988, sequence: 417 - clear  0.000000000, sequence: 0
source 0 - assert 1788052927.999999989, sequence: 418 - clear  0.000000000, sequence: 0
source 0 - assert 1788052928.999999991, sequence: 419 - clear  0.000000000, sequence: 0
source 0 - assert 1788052929.999999974, sequence: 420 - clear  0.000000000, sequence: 0
source 0 - assert 1788052930.999999994, sequence: 421 - clear  0.000000000, sequence: 0
source 0 - assert 1788052931.999999995, sequence: 422 - clear  0.000000000, sequence: 0
source 0 - assert 1788052932.999999997, sequence: 423 - clear  0.000000000, sequence: 0
source 0 - assert 1788052933.999999998, sequence: 424 - clear  0.000000000, sequence: 0
source 0 - assert 1788052935.000000000, sequence: 425 - clear  0.000000000, sequence: 0
source 0 - assert 1788052935.999999983, sequence: 426 - clear  0.000000000, sequence: 0
source 0 - assert 1788052937.000000003, sequence: 427 - clear  0.000000000, sequence: 0
source 0 - assert 1788052937.999999987, sequence: 428 - clear  0.000000000, sequence: 0
source 0 - assert 1788052938.999999990, sequence: 429 - clear  0.000000000, sequence: 0
source 0 - assert 1788052939.999999993, sequence: 430 - clear  0.000000000, sequence: 0
source 0 - assert 1788052940.999999995, sequence: 431 - clear  0.000000000, sequence: 0
source 0 - assert 1788052941.999999997, sequence: 432 - clear  0.000000000, sequence: 0
source 0 - assert 1788052942.999999998, sequence: 433 - clear  0.000000000, sequence: 0
source 0 - assert 1788052944.000000000, sequence: 434 - clear  0.000000000, sequence: 0
source 0 - assert 1788052945.000000002, sequence: 435 - clear  0.000000000, sequence: 0
source 0 - assert 1788052946.000000003, sequence: 436 - clear  0.000000000, sequence: 0
source 0 - assert 1788052947.000000005, sequence: 437 - clear  0.000000000, sequence: 0
source 0 - assert 1788052947.999999988, sequence: 438 - clear  0.000000000, sequence: 0
source 0 - assert 1788052948.999999989, sequence: 439 - clear  0.000000000, sequence: 0
source 0 - assert 1788052949.999999991, sequence: 440 - clear  0.000000000, sequence: 0
source 0 - assert 1788052950.999999993, sequence: 441 - clear  0.000000000, sequence: 0
source 0 - assert 1788052951.999999994, sequence: 442 - clear  0.000000000, sequence: 0
source 0 - assert 1788052952.999999996, sequence: 443 - clear  0.000000000, sequence: 0
source 0 - assert 1788052954.000000035, sequence: 444 - clear  0.000000000, sequence: 0
source 0 - assert 1788052954.999999999, sequence: 445 - clear  0.000000000, sequence: 0
source 0 - assert 1788052956.000000001, sequence: 446 - clear  0.000000000, sequence: 0
source 0 - assert 1788052957.000000003, sequence: 447 - clear  0.000000000, sequence: 0
source 0 - assert 1788052958.000000005, sequence: 448 - clear  0.000000000, sequence: 0
source 0 - assert 1788052958.999999988, sequence: 449 - clear  0.000000000, sequence: 0
source 0 - assert 1788052959.999999989, sequence: 450 - clear  0.000000000, sequence: 0
source 0 - assert 1788052960.999999991, sequence: 451 - clear  0.000000000, sequence: 0
source 0 - assert 1788052961.999999992, sequence: 452 - clear  0.000000000, sequence: 0
source 0 - assert 1788052963.000000013, sequence: 453 - clear  0.000000000, sequence: 0
source 0 - assert 1788052963.999999996, sequence: 454 - clear  0.000000000, sequence: 0
source 0 - assert 1788052964.999999979, sequence: 455 - clear  0.000000000, sequence: 0
source 0 - assert 1788052965.999999999, sequence: 456 - clear  0.000000000, sequence: 0
source 0 - assert 1788052967.000000001, sequence: 457 - clear  0.000000000, sequence: 0
source 0 - assert 1788052968.000000003, sequence: 458 - clear  0.000000000, sequence: 0
source 0 - assert 1788052969.000000005, sequence: 459 - clear  0.000000000, sequence: 0
source 0 - assert 1788052970.000000006, sequence: 460 - clear  0.000000000, sequence: 0
source 0 - assert 1788052971.000000026, sequence: 461 - clear  0.000000000, sequence: 0
source 0 - assert 1788052972.000000028, sequence: 462 - clear  0.000000000, sequence: 0
source 0 - assert 1788052973.000000029, sequence: 463 - clear  0.000000000, sequence: 0
source 0 - assert 1788052974.000000012, sequence: 464 - clear  0.000000000, sequence: 0
source 0 - assert 1788052974.999999995, sequence: 465 - clear  0.000000000, sequence: 0
source 0 - assert 1788052975.999999996, sequence: 466 - clear  0.000000000, sequence: 0
source 0 - assert 1788052977.000000034, sequence: 467 - clear  0.000000000, sequence: 0
source 0 - assert 1788052977.999999998, sequence: 468 - clear  0.000000000, sequence: 0
source 0 - assert 1788052979.000000000, sequence: 469 - clear  0.000000000, sequence: 0
source 0 - assert 1788052979.999999983, sequence: 470 - clear  0.000000000, sequence: 0
source 0 - assert 1788052981.000000003, sequence: 471 - clear  0.000000000, sequence: 0
source 0 - assert 1788052982.000000005, sequence: 472 - clear  0.000000000, sequence: 0
source 0 - assert 1788052983.000000006, sequence: 473 - clear  0.000000000, sequence: 0
source 0 - assert 1788052983.999999989, sequence: 474 - clear  0.000000000, sequence: 0
source 0 - assert 1788052984.999999991, sequence: 475 - clear  0.000000000, sequence: 0
source 0 - assert 1788052985.999999992, sequence: 476 - clear  0.000000000, sequence: 0
source 0 - assert 1788052987.000000012, sequence: 477 - clear  0.000000000, sequence: 0
source 0 - assert 1788052987.999999995, sequence: 478 - clear  0.000000000, sequence: 0
source 0 - assert 1788052988.999999997, sequence: 479 - clear  0.000000000, sequence: 0
source 0 - assert 1788052990.000000036, sequence: 480 - clear  0.000000000, sequence: 0
source 0 - assert 1788052990.999999982, sequence: 481 - clear  0.000000000, sequence: 0
source 0 - assert 1788052992.000000002, sequence: 482 - clear  0.000000000, sequence: 0
source 0 - assert 1788052993.000000003, sequence: 483 - clear  0.000000000, sequence: 0
source 0 - assert 1788052993.999999986, sequence: 484 - clear  0.000000000, sequence: 0
source 0 - assert 1788052995.000000025, sequence: 485 - clear  0.000000000, sequence: 0
source 0 - assert 1788052995.999999989, sequence: 486 - clear  0.000000000, sequence: 0
source 0 - assert 1788052996.999999991, sequence: 487 - clear  0.000000000, sequence: 0
source 0 - assert 1788052997.999999992, sequence: 488 - clear  0.000000000, sequence: 0
source 0 - assert 1788052998.999999994, sequence: 489 - clear  0.000000000, sequence: 0
source 0 - assert 1788052999.999999996, sequence: 490 - clear  0.000000000, sequence: 0
source 0 - assert 1788053000.999999997, sequence: 491 - clear  0.000000000, sequence: 0
source 0 - assert 1788053001.999999981, sequence: 492 - clear  0.000000000, sequence: 0
source 0 - assert 1788053003.000000001, sequence: 493 - clear  0.000000000, sequence: 0
source 0 - assert 1788053004.000000002, sequence: 494 - clear  0.000000000, sequence: 0
source 0 - assert 1788053004.999999986, sequence: 495 - clear  0.000000000, sequence: 0
source 0 - assert 1788053006.000000006, sequence: 496 - clear  0.000000000, sequence: 0
source 0 - assert 1788053006.999999989, sequence: 497 - clear  0.000000000, sequence: 0
source 0 - assert 1788053008.000000009, sequence: 498 - clear  0.000000000, sequence: 0
source 0 - assert 1788053008.999999992, sequence: 499 - clear  0.000000000, sequence: 0
source 0 - assert 1788053009.999999994, sequence: 500 - clear  0.000000000, sequence: 0
source 0 - assert 1788053010.999999996, sequence: 501 - clear  0.000000000, sequence: 0
source 0 - assert 1788053012.000000016, sequence: 502 - clear  0.000000000, sequence: 0
source 0 - assert 1788053012.999999999, sequence: 503 - clear  0.000000000, sequence: 0
source 0 - assert 1788053014.000000000, sequence: 504 - clear  0.000000000, sequence: 0
