trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1788041999.999999917, sequence: 9267 - clear  0.000000000, sequence: 0
source 0 - assert 1788042000.999999806, sequence: 9268 - clear  0.000000000, sequence: 0
source 0 - assert 1788042001.999999953, sequence: 9269 - clear  0.000000000, sequence: 0
source 0 - assert 1788042003.000000342, sequence: 9270 - clear  0.000000000, sequence: 0
source 0 - assert 1788042004.000000045, sequence: 9271 - clear  0.000000000, sequence: 0
source 0 - assert 1788042004.999999878, sequence: 9272 - clear  0.000000000, sequence: 0
source 0 - assert 1788042006.000000285, sequence: 9273 - clear  0.000000000, sequence: 0
source 0 - assert 1788042007.000000044, sequence: 9274 - clear  0.000000000, sequence: 0
source 0 - assert 1788042007.999999766, sequence: 9275 - clear  0.000000000, sequence: 0
source 0 - assert 1788042009.000000025, sequence: 9276 - clear  0.000000000, sequence: 0
source 0 - assert 1788042009.999999692, sequence: 9277 - clear  0.000000000, sequence: 0
source 0 - assert 1788042010.999999969, sequence: 9278 - clear  0.000000000, sequence: 0
source 0 - assert 1788042011.999999932, sequence: 9279 - clear  0.000000000, sequence: 0
source 0 - assert 1788042013.000000376, sequence: 9280 - clear  0.000000000, sequence: 0
source 0 - assert 1788042013.999999727, sequence: 9281 - clear  0.000000000, sequence: 0
source 0 - assert 1788042014.999999987, sequence: 9282 - clear  0.000000000, sequence: 0
source 0 - assert 1788042015.999999765, sequence: 9283 - clear  0.000000000, sequence: 0
source 0 - assert 1788042016.999999987, sequence: 9284 - clear  0.000000000, sequence: 0
source 0 - assert 1788042017.999999839, sequence: 9285 - clear  0.000000000, sequence: 0
source 0 - assert 1788042018.999999618, sequence: 9286 - clear  0.000000000, sequence: 0
source 0 - assert 1788042020.000000304, sequence: 9287 - clear  0.000000000, sequence: 0
source 0 - assert 1788042020.999999953, sequence: 9288 - clear  0.000000000, sequence: 0
source 0 - assert 1788042021.999999788, sequence: 9289 - clear  0.000000000, sequence: 0
source 0 - assert 1788042022.999999753, sequence: 9290 - clear  0.000000000, sequence: 0
source 0 - assert 1788042023.999999885, sequence: 9291 - clear  0.000000000, sequence: 0
source 0 - assert 1788042024.999999628, sequence: 9292 - clear  0.000000000, sequence: 0
source 0 - assert 1788042025.999999596, sequence: 9293 - clear  0.000000000, sequence: 0
source 0 - assert 1788042026.999999954, sequence: 9294 - clear  0.000000000, sequence: 0
source 0 - assert 1788042027.999999627, sequence: 9295 - clear  0.000000000, sequence: 0
