trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1788043939.000000178, sequence: 454 - clear  0.000000000, sequence: 0
source 0 - assert 1788043939.999999901, sequence: 455 - clear  0.000000000, sequence: 0
source 0 - assert 1788043941.000000051, sequence: 456 - clear  0.000000000, sequence: 0
source 0 - assert 1788043942.000000088, sequence: 457 - clear  0.000000000, sequence: 0
source 0 - assert 1788043943.000000126, sequence: 458 - clear  0.000000000, sequence: 0
source 0 - assert 1788043943.999999923, sequence: 459 - clear  0.000000000, sequence: 0
source 0 - assert 1788043945.000000017, sequence: 460 - clear  0.000000000, sequence: 0
source 0 - assert 1788043945.999999943, sequence: 461 - clear  0.000000000, sequence: 0
source 0 - assert 1788043947.000000073, sequence: 462 - clear  0.000000000, sequence: 0
source 0 - assert 1788043947.999999888, sequence: 463 - clear  0.000000000, sequence: 0
source 0 - assert 1788043949.000000055, sequence: 464 - clear  0.000000000, sequence: 0
source 0 - assert 1788043949.999999906, sequence: 465 - clear  0.000000000, sequence: 0
source 0 - assert 1788043951.000000184, sequence: 466 - clear  0.000000000, sequence: 0
source 0 - assert 1788043951.999999887, sequence: 467 - clear  0.000000000, sequence: 0
source 0 - assert 1788043953.000000091, sequence: 468 - clear  0.000000000, sequence: 0
source 0 - assert 1788043953.999999907, sequence: 469 - clear  0.000000000, sequence: 0
source 0 - assert 1788043955.000000020, sequence: 470 - clear  0.000000000, sequence: 0
source 0 - assert 1788043955.999999891, sequence: 471 - clear  0.000000000, sequence: 0
source 0 - assert 1788043957.000000078, sequence: 472 - clear  0.000000000, sequence: 0
source 0 - assert 1788043957.999999931, sequence: 473 - clear  0.000000000, sequence: 0
source 0 - assert 1788043959.000000100, sequence: 474 - clear  0.000000000, sequence: 0
source 0 - assert 1788043959.999999898, sequence: 475 - clear  0.000000000, sequence: 0
source 0 - assert 1788043961.000000121, sequence: 476 - clear  0.000000000, sequence: 0
source 0 - assert 1788043962.000000012, sequence: 477 - clear  0.000000000, sequence: 0
source 0 - assert 1788043963.000000106, sequence: 478 - clear  0.000000000, sequence: 0
source 0 - assert 1788043963.999999885, sequence: 479 - clear  0.000000000, sequence: 0
source 0 - assert 1788043965.000000090, sequence: 480 - clear  0.000000000, sequence: 0
source 0 - assert 1788043965.999999924, sequence: 481 - clear  0.000000000, sequence: 0
source 0 - assert 1788043967.000000018, sequence: 482 - clear  0.000000000, sequence: 0
source 0 - assert 1788043968.000000075, sequence: 483 - clear  0.000000000, sequence: 0
source 0 - assert 1788043969.000000076, sequence: 484 - clear  0.000000000, sequence: 0
source 0 - assert 1788043970.000000039, sequence: 485 - clear  0.000000000, sequence: 0
source 0 - assert 1788043971.000000114, sequence: 486 - clear  0.000000000, sequence: 0
source 0 - assert 1788043971.999999930, sequence: 487 - clear  0.000000000, sequence: 0
source 0 - assert 1788043973.000000023, sequence: 488 - clear  0.000000000, sequence: 0
source 0 - assert 1788043973.999999893, sequence: 489 - clear  0.000000000, sequence: 0
source 0 - assert 1788043975.000000116, sequence: 490 - clear  0.000000000, sequence: 0
source 0 - assert 1788043975.999999912, sequence: 491 - clear  0.000000000, sequence: 0
source 0 - assert 1788043977.000000227, sequence: 492 - clear  0.000000000, sequence: 0
source 0 - assert 1788043977.999999969, sequence: 493 - clear  0.000000000, sequence: 0
source 0 - assert 1788043979.000000100, sequence: 494 - clear  0.000000000, sequence: 0
source 0 - assert 1788043979.999999916, sequence: 495 - clear  0.000000000, sequence: 0
source 0 - assert 1788043981.000000028, sequence: 496 - clear  0.000000000, sequence: 0
source 0 - assert 1788043981.999999900, sequence: 497 - clear  0.000000000, sequence: 0
source 0 - assert 1788043983.000000327, sequence: 498 - clear  0.000000000, sequence: 0
source 0 - assert 1788043983.999999884, sequence: 499 - clear  0.000000000, sequence: 0
source 0 - assert 1788043985.000000051, sequence: 500 - clear  0.000000000, sequence: 0
source 0 - assert 1788043985.999999942, sequence: 501 - clear  0.000000000, sequence: 0
source 0 - assert 1788043987.000000110, sequence: 502 - clear  0.000000000, sequence: 0
source 0 - assert 1788043987.999999926, sequence: 503 - clear  0.000000000, sequence: 0
source 0 - assert 1788043989.000000020, sequence: 504 - clear  0.000000000, sequence: 0
source 0 - assert 1788043989.999999928, sequence: 505 - clear  0.000000000, sequence: 0
