trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1788045637.000000312, sequence: 2152 - clear  0.000000000, sequence: 0
source 0 - assert 1788045637.999999959, sequence: 2153 - clear  0.000000000, sequence: 0
source 0 - assert 1788045638.999999957, sequence: 2154 - clear  0.000000000, sequence: 0
source 0 - assert 1788045640.000000141, sequence: 2155 - clear  0.000000000, sequence: 0
source 0 - assert 1788045640.999999974, sequence: 2156 - clear  0.000000000, sequence: 0
source 0 - assert 1788045641.999999956, sequence: 2157 - clear  0.000000000, sequence: 0
source 0 - assert 1788045642.999999975, sequence: 2158 - clear  0.000000000, sequence: 0
source 0 - assert 1788045644.000000365, sequence: 2159 - clear  0.000000000, sequence: 0
source 0 - assert 1788045645.000000125, sequence: 2160 - clear  0.000000000, sequence: 0
source 0 - assert 1788045645.999999809, sequence: 2161 - clear  0.000000000, sequence: 0
source 0 - assert 1788045646.999999881, sequence: 2162 - clear  0.000000000, sequence: 0
source 0 - assert 1788045647.999999861, sequence: 2163 - clear  0.000000000, sequence: 0
source 0 - assert 1788045648.999999785, sequence: 2164 - clear  0.000000000, sequence: 0
source 0 - assert 1788045649.999999980, sequence: 2165 - clear  0.000000000, sequence: 0
source 0 - assert 1788045651.000000323, sequence: 2166 - clear  0.000000000, sequence: 0
source 0 - assert 1788045651.999999869, sequence: 2167 - clear  0.000000000, sequence: 0
source 0 - assert 1788045652.999999971, sequence: 2168 - clear  0.000000000, sequence: 0
source 0 - assert 1788045653.999999808, sequence: 2169 - clear  0.000000000, sequence: 0
source 0 - assert 1788045655.000000051, sequence: 2170 - clear  0.000000000, sequence: 0
source 0 - assert 1788045655.999999869, sequence: 2171 - clear  0.000000000, sequence: 0
source 0 - assert 1788045656.999999928, sequence: 2172 - clear  0.000000000, sequence: 0
source 0 - assert 1788045658.000000178, sequence: 2173 - clear  0.000000000, sequence: 0
source 0 - assert 1788045658.999999983, sequence: 2174 - clear  0.000000000, sequence: 0
source 0 - assert 1788045659.999999956, sequence: 2175 - clear  0.000000000, sequence: 0
source 0 - assert 1788045661.000000039, sequence: 2176 - clear  0.000000000, sequence: 0
source 0 - assert 1788045661.999999820, sequence: 2177 - clear  0.000000000, sequence: 0
source 0 - assert 1788045662.999999859, sequence: 2178 - clear  0.000000000, sequence: 0
source 0 - assert 1788045664.000000010, sequence: 2179 - clear  0.000000000, sequence: 0
source 0 - assert 1788045665.000000383, sequence: 2180 - clear  0.000000000, sequence: 0
source 0 - assert 1788045666.000000000, sequence: 2181 - clear  0.000000000, sequence: 0
source 0 - assert 1788045666.999999949, sequence: 2182 - clear  0.000000000, sequence: 0
source 0 - assert 1788045668.000000010, sequence: 2183 - clear  0.000000000, sequence: 0
source 0 - assert 1788045669.000000052, sequence: 2184 - clear  0.000000000, sequence: 0
source 0 - assert 1788045670.000000055, sequence: 2185 - clear  0.000000000, sequence: 0
source 0 - assert 1788045671.000000058, sequence: 2186 - clear  0.000000000, sequence: 0
source 0 - assert 1788045672.000000376, sequence: 2187 - clear  0.000000000, sequence: 0
source 0 - assert 1788045672.999999972, sequence: 2188 - clear  0.000000000, sequence: 0
source 0 - assert 1788045674.000000103, sequence: 2189 - clear  0.000000000, sequence: 0
source 0 - assert 1788045675.000000105, sequence: 2190 - clear  0.000000000, sequence: 0
source 0 - assert 1788045676.000000367, sequence: 2191 - clear  0.000000000, sequence: 0
source 0 - assert 1788045676.999999998, sequence: 2192 - clear  0.000000000, sequence: 0
source 0 - assert 1788045677.999999885, sequence: 2193 - clear  0.000000000, sequence: 0
source 0 - assert 1788045679.000000179, sequence: 2194 - clear  0.000000000, sequence: 0
source 0 - assert 1788045679.999999954, sequence: 2195 - clear  0.000000000, sequence: 0
source 0 - assert 1788045680.999999933, sequence: 2196 - clear  0.000000000, sequence: 0
source 0 - assert 1788045682.000000083, sequence: 2197 - clear  0.000000000, sequence: 0
source 0 - assert 1788045683.000000344, sequence: 2198 - clear  0.000000000, sequence: 0
source 0 - assert 1788045684.000000106, sequence: 2199 - clear  0.000000000, sequence: 0
source 0 - assert 1788045685.000000126, sequence: 2200 - clear  0.000000000, sequence: 0
source 0 - assert 1788045686.000000218, sequence: 2201 - clear  0.000000000, sequence: 0
source 0 - assert 1788045687.000000051, sequence: 2202 - clear  0.000000000, sequence: 0
source 0 - assert 1788045687.999999976, sequence: 2203 - clear  0.000000000, sequence: 0
source 0 - assert 1788045689.000000271, sequence: 2204 - clear  0.000000000, sequence: 0
source 0 - assert 1788045690.000000284, sequence: 2205 - clear  0.000000000, sequence: 0
source 0 - assert 1788045690.999999964, sequence: 2206 - clear  0.000000000, sequence: 0
source 0 - assert 1788045692.000000144, sequence: 2207 - clear  0.000000000, sequence: 0
source 0 - assert 1788045692.999999861, sequence: 2208 - clear  0.000000000, sequence: 0
source 0 - assert 1788045693.999999915, sequence: 2209 - clear  0.000000000, sequence: 0
source 0 - assert 1788045694.999999914, sequence: 2210 - clear  0.000000000, sequence: 0
source 0 - assert 1788045695.999999988, sequence: 2211 - clear  0.000000000, sequence: 0
source 0 - assert 1788045697.000000135, sequence: 2212 - clear  0.000000000, sequence: 0
source 0 - assert 1788045697.999999914, sequence: 2213 - clear  0.000000000, sequence: 0
source 0 - assert 1788045698.999999915, sequence: 2214 - clear  0.000000000, sequence: 0
source 0 - assert 1788045700.000000083, sequence: 2215 - clear  0.000000000, sequence: 0
source 0 - assert 1788045700.999999954, sequence: 2216 - clear  0.000000000, sequence: 0
source 0 - assert 1788045701.999999827, sequence: 2217 - clear  0.000000000, sequence: 0
source 0 - assert 1788045702.999999792, sequence: 2218 - clear  0.000000000, sequence: 0
source 0 - assert 1788045704.000000386, sequence: 2219 - clear  0.000000000, sequence: 0
source 0 - assert 1788045705.000000055, sequence: 2220 - clear  0.000000000, sequence: 0
source 0 - assert 1788045705.999999817, sequence: 2221 - clear  0.000000000, sequence: 0
source 0 - assert 1788045707.000000005, sequence: 2222 - clear  0.000000000, sequence: 0
source 0 - assert 1788045707.999999916, sequence: 2223 - clear  0.000000000, sequence: 0
source 0 - assert 1788045709.000000049, sequence: 2224 - clear  0.000000000, sequence: 0
source 0 - assert 1788045709.999999811, sequence: 2225 - clear  0.000000000, sequence: 0
source 0 - assert 1788045711.000000314, sequence: 2226 - clear  0.000000000, sequence: 0
source 0 - assert 1788045712.000000131, sequence: 2227 - clear  0.000000000, sequence: 0
source 0 - assert 1788045713.000000041, sequence: 2228 - clear  0.000000000, sequence: 0
source 0 - assert 1788045714.000000024, sequence: 2229 - clear  0.000000000, sequence: 0
source 0 - assert 1788045715.000000303, sequence: 2230 - clear  0.000000000, sequence: 0
source 0 - assert 1788045716.000000045, sequence: 2231 - clear  0.000000000, sequence: 0
source 0 - assert 1788045716.999999843, sequence: 2232 - clear  0.000000000, sequence: 0
source 0 - assert 1788045718.000000362, sequence: 2233 - clear  0.000000000, sequence: 0
source 0 - assert 1788045718.999999937, sequence: 2234 - clear  0.000000000, sequence: 0
source 0 - assert 1788045720.000000030, sequence: 2235 - clear  0.000000000, sequence: 0
source 0 - assert 1788045720.999999753, sequence: 2236 - clear  0.000000000, sequence: 0
source 0 - assert 1788045722.000000365, sequence: 2237 - clear  0.000000000, sequence: 0
source 0 - assert 1788045722.999999904, sequence: 2238 - clear  0.000000000, sequence: 0
source 0 - assert 1788045723.999999905, sequence: 2239 - clear  0.000000000, sequence: 0
source 0 - assert 1788045725.000000128, sequence: 2240 - clear  0.000000000, sequence: 0
source 0 - assert 1788045726.000000074, sequence: 2241 - clear  0.000000000, sequence: 0
source 0 - assert 1788045727.000000019, sequence: 2242 - clear  0.000000000, sequence: 0
source 0 - assert 1788045727.999999928, sequence: 2243 - clear  0.000000000, sequence: 0
source 0 - assert 1788045728.999999855, sequence: 2244 - clear  0.000000000, sequence: 0
source 0 - assert 1788045729.999999875, sequence: 2245 - clear  0.000000000, sequence: 0
source 0 - assert 1788045730.999999932, sequence: 2246 - clear  0.000000000, sequence: 0
source 0 - assert 1788045732.000000007, sequence: 2247 - clear  0.000000000, sequence: 0
source 0 - assert 1788045732.999999860, sequence: 2248 - clear  0.000000000, sequence: 0
source 0 - assert 1788045733.999999974, sequence: 2249 - clear  0.000000000, sequence: 0
source 0 - assert 1788045734.999999957, sequence: 2250 - clear  0.000000000, sequence: 0
source 0 - assert 1788045736.000000201, sequence: 2251 - clear  0.000000000, sequence: 0
source 0 - assert 1788045736.999999907, sequence: 2252 - clear  0.000000000, sequence: 0
source 0 - assert 1788045737.999999928, sequence: 2253 - clear  0.000000000, sequence: 0
source 0 - assert 1788045739.000000115, sequence: 2254 - clear  0.000000000, sequence: 0
source 0 - assert 1788045739.999999951, sequence: 2255 - clear  0.000000000, sequence: 0
source 0 - assert 1788045741.000000046, sequence: 2256 - clear  0.000000000, sequence: 0
source 0 - assert 1788045741.999999992, sequence: 2257 - clear  0.000000000, sequence: 0
source 0 - assert 1788045743.000000291, sequence: 2258 - clear  0.000000000, sequence: 0
source 0 - assert 1788045743.999999922, sequence: 2259 - clear  0.000000000, sequence: 0
source 0 - assert 1788045744.999999850, sequence: 2260 - clear  0.000000000, sequence: 0
source 0 - assert 1788045745.999999815, sequence: 2261 - clear  0.000000000, sequence: 0
source 0 - assert 1788045746.999999780, sequence: 2262 - clear  0.000000000, sequence: 0
source 0 - assert 1788045747.999999838, sequence: 2263 - clear  0.000000000, sequence: 0
source 0 - assert 1788045748.999999970, sequence: 2264 - clear  0.000000000, sequence: 0
source 0 - assert 1788045750.000000347, sequence: 2265 - clear  0.000000000, sequence: 0
source 0 - assert 1788045750.999999946, sequence: 2266 - clear  0.000000000, sequence: 0
source 0 - assert 1788045752.000000156, sequence: 2267 - clear  0.000000000, sequence: 0
source 0 - assert 1788045753.000000107, sequence: 2268 - clear  0.000000000, sequence: 0
source 0 - assert 1788045753.999999886, sequence: 2269 - clear  0.000000000, sequence: 0
source 0 - assert 1788045755.000000091, sequence: 2270 - clear  0.000000000, sequence: 0
source 0 - assert 1788045756.000000111, sequence: 2271 - clear  0.000000000, sequence: 0
source 0 - assert 1788045757.000000260, sequence: 2272 - clear  0.000000000, sequence: 0
source 0 - assert 1788045758.000000167, sequence: 2273 - clear  0.000000000, sequence: 0
source 0 - assert 1788045759.000000037, sequence: 2274 - clear  0.000000000, sequence: 0
source 0 - assert 1788045760.000000018, sequence: 2275 - clear  0.000000000, sequence: 0
source 0 - assert 1788045761.000000351, sequence: 2276 - clear  0.000000000, sequence: 0
source 0 - assert 1788045761.999999980, sequence: 2277 - clear  0.000000000, sequence: 0
source 0 - assert 1788045762.999999923, sequence: 2278 - clear  0.000000000, sequence: 0
source 0 - assert 1788045764.000000200, sequence: 2279 - clear  0.000000000, sequence: 0
source 0 - assert 1788045764.999999995, sequence: 2280 - clear  0.000000000, sequence: 0
source 0 - assert 1788045766.000000033, sequence: 2281 - clear  0.000000000, sequence: 0
source 0 - assert 1788045767.000000071, sequence: 2282 - clear  0.000000000, sequence: 0
source 0 - assert 1788045768.000000350, sequence: 2283 - clear  0.000000000, sequence: 0
source 0 - assert 1788045769.000000036, sequence: 2284 - clear  0.000000000, sequence: 0
source 0 - assert 1788045769.999999926, sequence: 2285 - clear  0.000000000, sequence: 0
source 0 - assert 1788045771.000000056, sequence: 2286 - clear  0.000000000, sequence: 0
source 0 - assert 1788045771.999999946, sequence: 2287 - clear  0.000000000, sequence: 0
source 0 - assert 1788045772.999999983, sequence: 2288 - clear  0.000000000, sequence: 0
source 0 - assert 1788045774.000001725, sequence: 2289 - clear  0.000000000, sequence: 0
source 0 - assert 1788045775.000000356, sequence: 2290 - clear  0.000000000, sequence: 0
source 0 - assert 1788045775.999999932, sequence: 2291 - clear  0.000000000, sequence: 0
source 0 - assert 1788045776.999999841, sequence: 2292 - clear  0.000000000, sequence: 0
source 0 - assert 1788045778.000000046, sequence: 2293 - clear  0.000000000, sequence: 0
source 0 - assert 1788045778.999999862, sequence: 2294 - clear  0.000000000, sequence: 0
source 0 - assert 1788045780.000000048, sequence: 2295 - clear  0.000000000, sequence: 0
source 0 - assert 1788045780.999999957, sequence: 2296 - clear  0.000000000, sequence: 0
source 0 - assert 1788045782.000000495, sequence: 2297 - clear  0.000000000, sequence: 0
source 0 - assert 1788045782.999999960, sequence: 2298 - clear  0.000000000, sequence: 0
source 0 - assert 1788045783.999999924, sequence: 2299 - clear  0.000000000, sequence: 0
source 0 - assert 1788045784.999999999, sequence: 2300 - clear  0.000000000, sequence: 0
source 0 - assert 1788045785.999999964, sequence: 2301 - clear  0.000000000, sequence: 0
source 0 - assert 1788045786.999999946, sequence: 2302 - clear  0.000000000, sequence: 0
source 0 - assert 1788045788.000000059, sequence: 2303 - clear  0.000000000, sequence: 0
source 0 - assert 1788045789.000000134, sequence: 2304 - clear  0.000000000, sequence: 0
source 0 - assert 1788045789.999999914, sequence: 2305 - clear  0.000000000, sequence: 0
source 0 - assert 1788045790.999999934, sequence: 2306 - clear  0.000000000, sequence: 0
source 0 - assert 1788045791.999999953, sequence: 2307 - clear  0.000000000, sequence: 0
source 0 - assert 1788045792.999999862, sequence: 2308 - clear  0.000000000, sequence: 0
source 0 - assert 1788045793.999999957, sequence: 2309 - clear  0.000000000, sequence: 0
source 0 - assert 1788045794.999999977, sequence: 2310 - clear  0.000000000, sequence: 0
source 0 - assert 1788045796.000000293, sequence: 2311 - clear  0.000000000, sequence: 0
source 0 - assert 1788045796.999999925, sequence: 2312 - clear  0.000000000, sequence: 0
source 0 - assert 1788045797.999999927, sequence: 2313 - clear  0.000000000, sequence: 0
source 0 - assert 1788045799.000000003, sequence: 2314 - clear  0.000000000, sequence: 0
source 0 - assert 1788045800.000000449, sequence: 2315 - clear  0.000000000, sequence: 0
source 0 - assert 1788045800.999999914, sequence: 2316 - clear  0.000000000, sequence: 0
source 0 - assert 1788045802.000000064, sequence: 2317 - clear  0.000000000, sequence: 0
source 0 - assert 1788045803.000000325, sequence: 2318 - clear  0.000000000, sequence: 0
source 0 - assert 1788045803.999999957, sequence: 2319 - clear  0.000000000, sequence: 0
source 0 - assert 1788045804.999999978, sequence: 2320 - clear  0.000000000, sequence: 0
source 0 - assert 1788045806.000000461, sequence: 2321 - clear  0.000000000, sequence: 0
source 0 - assert 1788045807.000000388, sequence: 2322 - clear  0.000000000, sequence: 0
source 0 - assert 1788045808.000000001, sequence: 2323 - clear  0.000000000, sequence: 0
source 0 - assert 1788045809.000000040, sequence: 2324 - clear  0.000000000, sequence: 0
source 0 - assert 1788045810.000000189, sequence: 2325 - clear  0.000000000, sequence: 0
source 0 - assert 1788045811.000000043, sequence: 2326 - clear  0.000000000, sequence: 0
source 0 - assert 1788045812.000000155, sequence: 2327 - clear  0.000000000, sequence: 0
source 0 - assert 1788045813.000000046, sequence: 2328 - clear  0.000000000, sequence: 0
source 0 - assert 1788045814.000000269, sequence: 2329 - clear  0.000000000, sequence: 0
source 0 - assert 1788045815.000000584, sequence: 2330 - clear  0.000000000, sequence: 0
source 0 - assert 1788045816.000000030, sequence: 2331 - clear  0.000000000, sequence: 0
source 0 - assert 1788045816.999999993, sequence: 2332 - clear  0.000000000, sequence: 0
source 0 - assert 1788045817.999999920, sequence: 2333 - clear  0.000000000, sequence: 0
source 0 - assert 1788045818.999999994, sequence: 2334 - clear  0.000000000, sequence: 0
source 0 - assert 1788045820.000000049, sequence: 2335 - clear  0.000000000, sequence: 0
source 0 - assert 1788045821.000000253, sequence: 2336 - clear  0.000000000, sequence: 0
source 0 - assert 1788045821.999999976, sequence: 2337 - clear  0.000000000, sequence: 0
source 0 - assert 1788045822.999999958, sequence: 2338 - clear  0.000000000, sequence: 0
source 0 - assert 1788045823.999999996, sequence: 2339 - clear  0.000000000, sequence: 0
source 0 - assert 1788045825.000000034, sequence: 2340 - clear  0.000000000, sequence: 0
source 0 - assert 1788045826.000000054, sequence: 2341 - clear  0.000000000, sequence: 0
source 0 - assert 1788045826.999999907, sequence: 2342 - clear  0.000000000, sequence: 0
source 0 - assert 1788045828.000000241, sequence: 2343 - clear  0.000000000, sequence: 0
source 0 - assert 1788045829.000000002, sequence: 2344 - clear  0.000000000, sequence: 0
source 0 - assert 1788045829.999999910, sequence: 2345 - clear  0.000000000, sequence: 0
source 0 - assert 1788045830.999999800, sequence: 2346 - clear  0.000000000, sequence: 0
source 0 - assert 1788045831.999999949, sequence: 2347 - clear  0.000000000, sequence: 0
source 0 - assert 1788045832.999999802, sequence: 2348 - clear  0.000000000, sequence: 0
source 0 - assert 1788045833.999999934, sequence: 2349 - clear  0.000000000, sequence: 0
source 0 - assert 1788045835.000000306, sequence: 2350 - clear  0.000000000, sequence: 0
source 0 - assert 1788045835.999999900, sequence: 2351 - clear  0.000000000, sequence: 0
source 0 - assert 1788045837.000000032, sequence: 2352 - clear  0.000000000, sequence: 0
source 0 - assert 1788045837.999999997, sequence: 2353 - clear  0.000000000, sequence: 0
source 0 - assert 1788045839.000000110, sequence: 2354 - clear  0.000000000, sequence: 0
source 0 - assert 1788045840.000000111, sequence: 2355 - clear  0.000000000, sequence: 0
source 0 - assert 1788045841.000000076, sequence: 2356 - clear  0.000000000, sequence: 0
source 0 - assert 1788045842.000000281, sequence: 2357 - clear  0.000000000, sequence: 0
source 0 - assert 1788045842.999999949, sequence: 2358 - clear  0.000000000, sequence: 0
source 0 - assert 1788045843.999999969, sequence: 2359 - clear  0.000000000, sequence: 0
source 0 - assert 1788045844.999999989, sequence: 2360 - clear  0.000000000, sequence: 0
source 0 - assert 1788045846.000000416, sequence: 2361 - clear  0.000000000, sequence: 0
source 0 - assert 1788045846.999999955, sequence: 2362 - clear  0.000000000, sequence: 0
source 0 - assert 1788045847.999999974, sequence: 2363 - clear  0.000000000, sequence: 0
source 0 - assert 1788045849.000000235, sequence: 2364 - clear  0.000000000, sequence: 0
source 0 - assert 1788045849.999999903, sequence: 2365 - clear  0.000000000, sequence: 0
source 0 - assert 1788045850.999999830, sequence: 2366 - clear  0.000000000, sequence: 0
source 0 - assert 1788045851.999999943, sequence: 2367 - clear  0.000000000, sequence: 0
source 0 - assert 1788045853.000000370, sequence: 2368 - clear  0.000000000, sequence: 0
source 0 - assert 1788045854.000000020, sequence: 2369 - clear  0.000000000, sequence: 0
source 0 - assert 1788045855.000000040, sequence: 2370 - clear  0.000000000, sequence: 0
